StoreKey,StoreName,StoreType,City,State,StorePostalCode,StoreYelpSince,AveragePricePerPerson,IsDelivery,IsTakeOut,IsDineIn,OpenTime(AM),CloseTime(PM)
s101,Thanishka Nati And Karavali Style,Thai,Oakland,California,94705,2018,66.91,1,1,1,7:00,3:00
s113,New Indraprasta,Indian,San Jose,California,95109,2018,14.35,1,0,1,10:00,10:00
s116,Vijayalakshmi,Indian,San Diego,California,92160,2018,69.53,1,0,1,7:00,3:00
s145,Tandoori Knight,Japanese,San Jose,California,95123,2019,73.64,1,1,1,10:30,8:30
s16,T3H Cafe,Café,San Diego,California,92091,2016,9.28,1,1,1,11:30,6:00
s102,Swathi Cool Point,Pub,San Diego,California,92140,2018,74.21,1,1,1,11:00,10:00
s110,Swaada Healthy Kitchen,Fast Food,Long Beach,California,90902,2018,61.64,1,1,1,8:30,10:30
s123,Bitez,Indian,Los Angeles,California,91402,2018,50.59,1,1,1,11:30,6:00
s193,Sugar Stars Co,American,San Jose,California,95101,2019,46.59,1,1,1,10:30,8:30
s180,Stoned Monkey,Fast Food,San Jose,California,95101,2019,39.93,1,1,1,11:00,10:00
s124,Roll Over,Indian,Los Angeles,California,91402,2018,30.93,1,0,1,10:00,10:00
s13,Cafe Vivacity,Café,San Jose,California,95101,2016,61.96,1,1,1,11:00,10:00
s117,Sri Udupi Food Hub,Fast Food,San Diego,California,92092,2018,77.09,1,1,1,11:00,10:00
s105,Sri Sai Tiffannies,Thai,Oakland,California,94659,2018,84.09,1,1,1,7:00,3:00
s107,Sri Murari Family Restaurant,American,Los Angeles,California,91329,2018,80.05,1,1,1,10:30,8:30
s45,Sri Guru Kottureshwara Davangere Benne Dosa,Italian,Los Angeles,California,91396,2017,26.03,1,0,0,6:00,3:00
s98,Sri Basaveshwar Jolada Rotti Oota,Indian,San Diego,California,92123,2018,89.05,1,1,1,9:00,9:00
s140,Aramane Biryani,Indian,San Francisco,California,94111,2019,56,1,1,1,11:30,6:00
s15,Kirthi's Biryani,Korean,Long Beach,California,90712,2016,20.4,1,1,1,10:30,8:30
s200,South Grand,Chinese,Riverside,California,92501,2019,88.69,1,0,1,11:00,10:00
s94,Soms Kitchen & Bakes,Bake,Los Angeles,California,90012,2018,49.55,1,1,1,10:30,8:30
s36,Shree Cool Point,American,Los Angeles,California,90026,2016,56.02,1,0,1,10:00,10:00
s150,Shakes Theory,Japanese,Riverside,California,90012,2019,63.64,1,1,1,9:00,9:00
s17,360 Atoms Restaurant And Cafe,Café,Oakland,California,94501,2016,46.82,1,1,1,9:00,9:00
s12,San Jose Cafe,Café,Los Angeles,California,90006,2016,25.34,1,1,1,10:30,8:30
s18,The Blue Cafe,Café,San Francisco,California,94109,2016,42.44,1,1,1,7:00,3:00
s137,Sagar Deluxe,American,Sacramento,California,94236,2019,14.62,1,1,1,11:00,10:00
s96,Ruchi Maayaka,Japanese,Sacramento,California,94236,2018,51.13,1,1,1,6:00,3:00
s196,RS Shiv Sagar,American,Long Beach,California,90712,2019,25.75,1,0,1,11:00,10:00
s191,Srinathji's Cafe,Café,Los Angeles,California,91329,2019,59.78,1,1,1,11:00,10:00
s2,Spice Elephant,Chinese,San Jose,California,95101,2015,31.84,1,1,1,10:30,8:30
s43,Rolls On Wheels,American,San Jose,California,95123,2017,42.71,1,1,0,7:00,3:00
s20,Cafe Coffee Day,Café,Riverside,California,90715,2016,51.13,1,1,1,11:00,10:00
s120,Roll N Rock,American,Riverside,California,94111,2018,67.27,1,1,1,9:00,9:00
s99,Roll Magic Fast Food,Fast Food,San Diego,California,92124,2018,23.26,1,1,1,9:00,9:00
s21,My Tea House,Tea,Los Angeles,California,90007,2016,92.05,0,0,1,7:00,3:00
s22,Hide Out Cafe,Café,Los Angeles,California,90008,2016,61.95,1,1,1,7:00,3:00
s186,Re Malnad Nati Style,Thai,San Jose,California,95110,2019,82.82,1,1,1,10:00,10:00
s23,CAFE NOVA,Café,San Jose,California,95111,2016,56.12,1,1,1,9:00,9:00
s189,Pizza Stop,Pizza,San Jose,California,95123,2019,55.39,1,1,0,7:00,3:00
s173,Pizza Mane,Pizza,Sacramento,California,94211,2019,77.95,1,1,1,10:30,8:30
s168,Pizza Hut,Pizza,Oakland,California,94610,2019,85.51,1,0,1,8:30,10:30
s24,Coffee Tindi,Café,San Diego,California,92092,2016,44.78,1,1,1,7:00,3:00
s135,Patio 805,American,San Jose,California,95109,2019,30.48,1,1,1,6:00,3:00
s92,Parjanya Chat Zone,Fast Food,Los Angeles,California,91402,2018,70.64,1,1,1,11:30,6:00
s25,Sea Green Cafe,Café,San Jose,California,95112,2016,11.24,1,1,1,8:30,10:30
s175,Paratha Merchant,Japanese,Oakland,California,94610,2019,80,1,0,1,9:00,9:00
s148,Paradise Premium,Japanese,Los Angeles,California,90012,2019,62.97,1,1,0,11:30,6:00
s26,Cuppa,Japanese,San Diego,California,92093,2016,66.22,1,0,1,10:00,10:00
s44,Om Sri Vinayaka Chats,Japanese,Sacramento,California,94208,2017,65.49,1,0,1,7:00,3:00
s163,Olive - Era,American,Sacramento,California,94208,2019,78.09,1,1,0,9:00,9:00
s154,Old Mumbai Ice Cream,Ice Cream,San Diego,California,92160,2019,99.81,1,0,0,10:00,10:00
s176,North Rasoe,American,San Diego,California,92109,2019,64.73,1,0,1,9:00,9:00
s184,New Prashanth,American,San Jose,California,95109,2019,11.09,1,1,1,10:00,10:00
s90,New Mangalore Lunch Home,American,Oakland,California,94659,2018,13.77,1,0,0,11:00,10:00
s27,Srinathji's Cafe,Café,Riverside,California,90716,2016,72.96,1,1,0,11:30,6:00
s130,New Gowda's Fried Chicken,Indian,Long Beach,California,90842,2018,58.83,1,0,1,10:30,8:30
s77,Naveen Kabab & Biriyani Mane,Thai,Oakland,California,94614,2017,49.96,1,0,1,11:00,10:00
s63,Nandhini Deluxe,Thai,San Diego,California,92108,2017,11.56,1,1,0,6:00,3:00
s28,Redberrys,American,Riverside,California,94102,2016,56.83,1,1,1,11:30,6:00
s161,Mulabagilu Dosa,Fast Food,San Diego,California,92111,2019,46.25,1,1,1,6:00,3:00
s97,Mohitesh Hut Roll,Japanese,San Francisco,California,94107,2018,74.85,1,1,1,9:00,9:00
s147,Mitraa Da Pizza,Pizza,Riverside,California,92503,2019,84.56,1,1,1,11:30,6:00
s160,Mini Punjabi Dhaba,Fast Food,Oakland,California,94610,2019,63.94,1,1,1,6:00,3:00
s112,Melting Melodies,Fast Food,San Jose,California,95123,2018,65.88,1,0,0,11:00,10:00
s55,Meghana Foods,American,San Jose,California,95120,2017,17.56,1,1,1,10:00,10:00
s59,Me And My Cake,Dessert,Oakland,California,94611,2017,61.99,1,1,1,11:30,6:00
s169,Mangalore Pearl,Thai,Riverside,California,92503,2019,18.03,1,1,1,10:30,8:30
s3,San Churro Cafe,Café,San Jose,California,95054,2015,29.99,1,1,1,10:00,8:00
s165,Madhappa Hindu Military,Indian,Riverside,California,95101,2019,10.78,1,1,1,9:00,9:00
s179,Lord Of The Kitchen,Japanese,San Jose,California,95124,2019,38.83,1,1,0,7:00,3:00
s126,Lassi Shop,Japanese,San Jose,California,95124,2018,62.94,1,1,1,8:30,10:30
s136,Lassi Corner,Fast Food,Riverside,California,94203,2019,54.7,1,0,1,8:30,10:30
s93,Kwality Wall's Swirl's Happiness Station,Italian,Los Angeles,California,90012,2018,36.6,1,1,1,10:00,10:00
s86,Kulfi & More,Japanese,Oakland,California,94611,2018,45.92,1,1,1,11:30,6:00
s30,Hotboxit,American,Los Angeles,California,90012,2016,30.6,1,1,1,8:30,10:30
s31,Kitchen Garden,Chinese,San Jose,California,95115,2016,99.37,0,1,1,8:30,10:30
s192,Kollapuri's,Fast Food,San Francisco,California,94111,2019,89.06,1,1,1,11:00,10:00
s47,Kolbeh,Korean,San Francisco,California,94114,2017,69.31,1,1,1,9:00,9:00
s32,Recipe,Japanese,San Jose,California,95120,2016,30.74,1,0,1,10:00,10:00
s34,Tasty Bytes,American,Sacramento,California,94211,2016,86.69,1,1,1,10:30,8:30
s69,Kidambi's Kitchen,Chinese,San Francisco,California,94126,2017,63.45,1,1,1,11:00,10:00
s197,Kholi Mane,Thai,San Jose,California,95124,2019,79.99,1,0,1,9:00,9:00
s122,KFC,Fast Food,Los Angeles,California,90004,2018,41.22,1,0,1,6:00,3:00
s157,Kedia's Fun Food,American,Los Angeles,California,90004,2019,60.48,1,1,1,11:00,10:00
s103,Kaumudis Juoice,Indian,San Diego,California,92143,2018,75.47,1,1,1,11:00,10:00
s35,Petoo,American,Los Angeles,California,90014,2016,15.81,1,1,1,10:00,10:00
s187,Karma Kaapi,Japanese,Los Angeles,California,90012,2019,85.31,1,0,1,10:00,10:00
s138,Kanti Sweets,American,San Jose,California,95101,2019,43.88,1,0,1,10:00,10:00
s87,Kannadigas Karavali,Thai,Oakland,California,94611,2018,70.4,1,1,1,11:00,10:00
s65,Kaggis,American,Long Beach,California,90842,2017,54.73,1,1,1,9:00,9:00
s195,Kadamba Classic,Fast Food,Los Angeles,California,91329,2019,78.47,1,1,1,11:30,6:00
s49,Kadalu Sea Food Restaurant,Italian,Oakland,California,94606,2017,63.86,1,1,1,9:00,9:00
s37,Corner House Ice Cream,Ice Cream,San Francisco,California,94112,2016,24.21,1,0,1,9:00,9:00
s159,Just Shawarma,Fast Food,San Francisco,California,94107,2019,18.62,1,1,1,7:00,3:00
s81,Just Bake,Bake,San Jose,California,95123,2018,55.57,1,1,1,10:30,8:30
s38,Biryanis And More,American,San Diego,California,92105,2016,9.48,1,0,1,10:00,10:00
s177,Inchara Restaurant,American,Long Beach,California,90902,2019,98.46,1,1,1,9:00,9:00
s125,Imperial Restaurant,American,Long Beach,California,90902,2018,99.5,1,0,1,11:30,6:00
s119,House Of Kebabs,American,Riverside,California,95124,2018,79.6,1,1,1,9:00,9:00
s106,Hotel Andhra Speices,Indian,San Jose,California,95101,2018,93.2,1,1,1,6:00,3:00
s39,Roving Feast,American,Long Beach,California,90740,2016,90.84,1,1,1,10:00,10:00
s134,HOT COFFEE,Café,Riverside,California,92501,2019,68.68,1,1,1,10:30,8:30
s4,Addhuri Udupi Bhojana,Indian,San Jose,California,95110,2015,45.74,1,1,1,9:00,10:00
s198,Harshi Super Sandwich,Sandwich,San Jose,California,95124,2019,17.77,1,0,1,8:30,10:30
s79,Hari Super Sandwich,Sandwich,San Jose,California,95109,2017,75.02,1,1,1,11:00,10:00
s149,Grazers,Japanese,Los Angeles,California,90026,2019,94.59,1,1,0,10:30,8:30
s40,FreshMenu,Italian,San Jose,California,95122,2016,56.68,1,1,1,8:30,10:30
s162,Gokul Veg,American,San Diego,California,92140,2019,44.42,1,1,1,10:00,10:00
s41,Banashankari Donne Biriyani,Indian,Oakland,California,94610,2017,94.29,0,1,1,11:30,6:00
s166,Gama Gama,Thai,Riverside,California,92502,2019,26.49,1,0,1,7:00,3:00
s48,Upahar Sagar,American,San Diego,California,93106,2017,55.81,1,1,1,9:00,9:00
s5,Grand Taste,Chinese,San Francisco,California,94110,2015,42.61,1,1,1,11:30,9:00
s50,Frozen Bottle,American,Los Angeles,California,91371,2017,59.16,1,1,1,10:30,8:30
s29,Foodiction,American,Oakland,California,94502,2016,62.08,1,1,0,9:00,9:00
s72,Floured-Baked With Love,Bake,San Francisco,California,94115,2017,58.16,1,1,1,9:00,9:00
s143,Energy Addaa,Thai,San Diego,California,92092,2019,61.41,1,1,1,10:00,10:00
s155,Donne Biriyani House,Japanese,San Diego,California,92092,2019,19.85,1,0,1,10:00,10:00
s132,Diabetics Dezire Sugarless Sweets and Bakes,Dessert,San Francisco,California,94119,2019,25.73,1,0,1,9:00,9:00
s82,Dharwad Line Bazaar Mishra Pedha,Indian,Sacramento,California,94211,2018,86.07,1,0,0,9:00,9:00
s46,Devanna Dum Biriyani Centre,Indian,Oakland,California,94611,2017,67.97,1,0,1,10:00,10:00
s146,Dev Sagar,Indian,San Jose,California,95123,2019,9.48,1,1,1,7:00,3:00
s57,Dessert Rose,Dessert,Los Angeles,California,91329,2017,38.88,1,1,1,10:30,8:30
s158,Davangere Butter Dosa,American,Riverside,California,90505,2019,62.92,1,0,1,10:30,8:30
s109,Darkolates,Japanese,Sacramento,California,94236,2018,65.67,1,1,1,9:00,9:00
s115,Darbar,Pub,San Diego,California,92152,2018,50.31,1,1,1,10:00,10:00
s174,Dal Tadkaa,Japanese,Sacramento,California,94208,2019,83.06,1,0,1,8:30,10:30
s51,Parimala Sweets,Dessert,Oakland,California,94614,2017,19.87,0,1,1,10:00,10:00
s52,Vaishali Deluxe,Italian,San Jose,California,95101,2017,93.58,1,1,1,7:00,3:00
s172,Cool Corner,Fast Food,Los Angeles,California,91329,2019,74.6,1,1,1,10:00,10:00
s53,Eight Sandwich,Sandwich,Sacramento,California,94232,2017,29.83,1,0,1,11:30,6:00
s76,Coffee Shopee,Café,San Diego,California,92111,2017,24.44,1,1,1,11:30,6:00
s91,Coffee Bytes,Café,Long Beach,California,90815,2018,80.66,1,1,0,11:00,10:00
s152,Chilli Flakes,American,Oakland,California,94659,2019,21.53,1,1,1,10:00,10:00
s58,Chickpet Donne Biryani House,Korean,Long Beach,California,90801,2017,79.59,1,1,1,11:30,6:00
s67,Chatar Patar,American,Los Angeles,California,90004,2017,57.49,1,1,1,8:30,10:30
s181,Central Jail Restaurant,Thai,San Francisco,California,94111,2019,96.91,1,0,1,10:30,8:30
s14,Catch-up-ino,American,San Diego,California,92071,2016,94,1,0,1,10:30,8:30
s131,Canton,Indian,San Diego,California,92111,2019,62.46,1,0,1,10:00,10:00
s153,Calcutta Cafe,Café,San Diego,California,92092,2019,70.21,1,1,1,8:30,10:30
s74,Cakes & Slices,Dessert,Sacramento,California,94230,2017,60.74,1,1,1,9:00,9:00
s199,Cake Yard,Dessert,San Diego,California,92160,2019,87.82,1,1,1,6:00,3:00
s142,Cake Ghar,Dessert,Sacramento,California,94208,2019,16.27,1,1,1,10:30,8:30
s83,Cake Bite,Dessert,Los Angeles,California,90008,2018,51.62,1,0,1,7:00,3:00
s56,Krishna Sagar,Italian,Oakland,California,94614,2017,79.38,1,1,1,10:30,8:30
s6,Timepass Dinner,Japanese,Los Angeles,California,90002,2015,52.52,1,1,1,11:00,10:00
s60,Sunsadm,American,Los Angeles,California,91329,2017,87.95,1,1,1,11:30,6:00
s61,Annapooraneshwari Mess,Indian,Oakland,California,94604,2017,49.4,1,1,1,10:00,10:00
s73,CAFE A,Café,Long Beach,California,90803,2017,78.58,1,1,1,9:00,9:00
s62,Thanco's Natural Ice Creams,Ice Cream,San Francisco,California,94120,2017,88.89,1,1,1,10:00,10:00
s156,By 2 Coffee,Café,Riverside,California,92504,2019,91.11,1,0,0,11:00,10:00
s121,BOX8- Desi Meals,Fast Food,Riverside,California,94211,2018,13.9,1,0,1,10:30,8:30
s194,Bombay Kulfis,Fast Food,Sacramento,California,94211,2019,98.52,1,1,0,10:30,8:30
s66,Ayda Persian Kitchen,American,San Jose,California,95124,2017,38.14,1,1,1,11:30,6:00
s68,Polar Bear,American,Los Angeles,California,90008,2017,43.94,1,1,1,8:30,10:30
s190,Biggies Burger 'n' More,Burger,Oakland,California,94607,2019,71.89,1,0,0,9:00,9:00
s144,Bhattara Bhojana,Thai,Oakland,California,94705,2019,9.42,1,1,1,11:00,10:00
s7,Rosewood Foods,Chinese,San Francisco,California,94111,2015,35.62,1,1,1,11:00,8:00
s182,Bella,Japanese,Los Angeles,California,91329,2019,82.39,1,1,1,10:30,8:30
s33,Beijing Bites,Chinese,Oakland,California,94607,2016,55.96,1,0,1,10:30,8:30
s95,Banashankari Nati Style,Thai,San Jose,California,95124,2018,58.57,1,0,1,6:00,3:00
s70,Mane Thindi,Thai,Oakland,California,94610,2017,85.96,1,1,1,7:00,3:00
s71,Kotian Karavali Restaurant,Thai,San Francisco,California,94119,2017,15.94,1,1,1,10:30,8:30
s80,Atithi Point Ande Ka Funda,Indian,San Francisco,California,94107,2017,33.71,1,0,1,10:00,10:00
s170,Asha Sweets Centre,Fast Food,Los Angeles,California,90012,2019,83.38,1,1,1,11:00,10:00
s75,Spice 9,Fast Food,San Diego,California,92110,2017,85.04,1,1,1,8:30,10:30
s78,Katriguppe Donne Biryani,Indian,Oakland,California,94607,2017,98,1,1,1,11:00,10:00
s8,Onesta,Japanese,Los Angeles,California,90003,2015,18.41,1,1,1,11:30,6:00
s114,Anna Kuteera,Italian,Oakland,California,94607,2018,54.81,1,1,1,11:00,10:00
s141,Ande Ka Funda,Italian,San Diego,California,92109,2019,31.52,1,1,0,10:00,10:00
s104,Amma - Manae,Fast Food,Long Beach,California,90842,2018,94.37,1,1,1,11:00,10:00
s129,Al Diwan Biryanis And More,Indian,Oakland,California,94614,2018,62.02,1,1,1,10:30,8:30
s88,K27 - The Pub,Pub,San Diego,California,92112,2018,37.25,1,0,1,11:00,10:00
s84,Aarush's Food ,Fast Food,Long Beach,California,90807,2018,86.37,1,1,0,7:00,3:00
s89,Bengaluru Coffee House,Café,San Diego,California,92121,2018,64.53,1,0,1,11:00,10:00
s151,@Italy,Italian,Riverside,California,94236,2019,51.31,1,1,1,10:30,8:30
s9,Cafe Shuffle,Café,Riverside,California,90004,2015,98.56,1,1,1,6:00,3:00
